"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Cambodia","2011","Male","Not applicable","Percent","98.57172"
"Cambodia","2011","All genders","Not applicable","Percent","96.543"
"Cambodia","2010","All genders","Not applicable","Percent","87.35334"
"Cambodia","2010","Male","Not applicable","Percent","87.94647"
"Cambodia","2010","Female","Not applicable","Percent","86.74973"
"Cambodia","2008","Female","Not applicable","Percent","81.29706"
"Cambodia","2008","Male","Not applicable","Percent","83.85241"
"Cambodia","2008","All genders","Not applicable","Percent","82.59387"
"Cambodia","2007","All genders","Not applicable","Percent","91.76571"
"Cambodia","2007","Male","Not applicable","Percent","92.98097"
"Cambodia","2007","Female","Not applicable","Percent","90.50591"
"Cambodia","2006","All genders","Not applicable","Percent","88.57413"
"Cambodia","2006","Female","Not applicable","Percent","88.42859"
"Cambodia","2006","Male","Not applicable","Percent","88.71404"
"Cambodia","2005","All genders","Not applicable","Percent","92.02575"
"Cambodia","2005","Male","Not applicable","Percent","91.48512"
"Cambodia","2005","Female","Not applicable","Percent","92.58646"
"Cambodia","2004","All genders","Not applicable","Percent","87.23499"
"Cambodia","2004","Female","Not applicable","Percent","85.63824"
"Cambodia","2004","Male","Not applicable","Percent","88.77883"
"Cambodia","2002","All genders","Not applicable","Percent","76.57565"
"Cambodia","2002","Female","Not applicable","Percent","75.43756"
"Cambodia","2002","Male","Not applicable","Percent","77.67901"
"Cambodia","2001","Male","Not applicable","Percent","77.19715"
"Cambodia","2001","Female","Not applicable","Percent","74.12662"
"Cambodia","2001","All genders","Not applicable","Percent","75.68623"
"Cambodia","2000","All genders","Not applicable","Percent","74.3024"
"Cambodia","2000","Female","Not applicable","Percent","72.37289"
"Cambodia","2000","Male","Not applicable","Percent","76.17122"
"Cambodia","1999","Male","Not applicable","Percent","66.76533"
"Cambodia","1999","Female","Not applicable","Percent","64.42474"
"Cambodia","1999","All genders","Not applicable","Percent","65.61229"
"Cameroon","2014","Male","Not applicable","Percent","70.31611"
"Cameroon","2014","All genders","Not applicable","Percent","66.72468"
"Cameroon","2014","Female","Not applicable","Percent","63.08428"
"Cameroon","2009","All genders","Not applicable","Percent","52.23898"
"Cameroon","2009","Female","Not applicable","Percent","48.99636"
"Cameroon","2009","Male","Not applicable","Percent","55.43508"
"Cape Verde","2014","Female","Not applicable","Percent","96.93795"
"Cape Verde","2014","All genders","Not applicable","Percent","98.22868"
"Cape Verde","2014","Male","Not applicable","Percent","99.48869"
"Cape Verde","2013","All genders","Not applicable","Percent","98.84028"
"Cape Verde","2013","Male","Not applicable","Percent","98.44621"
"Cape Verde","2013","Female","Not applicable","Percent","99.24659"
"Cape Verde","2011","All genders","Not applicable","Percent","98.41646"
"Cape Verde","2011","Female","Not applicable","Percent","99.35778"
"Cape Verde","2011","Male","Not applicable","Percent","97.5093"
"Cape Verde","2010","All genders","Not applicable","Percent","95.7727"
"Cape Verde","2010","Male","Not applicable","Percent","93.92287"
"Cape Verde","2010","Female","Not applicable","Percent","97.68472"
"Cape Verde","2009","All genders","Not applicable","Percent","90.66311"
"Cape Verde","2009","Female","Not applicable","Percent","90.51574"
"Cape Verde","2009","Male","Not applicable","Percent","90.80654"
"Cape Verde","2008","All genders","Not applicable","Percent","82.5217"
"Cape Verde","2008","Male","Not applicable","Percent","81.26582"
"Cape Verde","2008","Female","Not applicable","Percent","83.80425"
"Cape Verde","2007","All genders","Not applicable","Percent","81.56856"
"Cape Verde","2007","Female","Not applicable","Percent","82.44032"
"Cape Verde","2007","Male","Not applicable","Percent","80.71031"
"Cape Verde","2006","All genders","Not applicable","Percent","76.78964"
"Cape Verde","2006","Male","Not applicable","Percent","76.14401"
"Cape Verde","2006","Female","Not applicable","Percent","77.44297"
"Cape Verde","2005","All genders","Not applicable","Percent","78.73251"
"Cape Verde","2005","Female","Not applicable","Percent","78.95522"
"Cape Verde","2005","Male","Not applicable","Percent","78.51307"
"Cape Verde","2004","All genders","Not applicable","Percent","71.86795"
"Cape Verde","2004","Male","Not applicable","Percent","71.14801"
"Cape Verde","2004","Female","Not applicable","Percent","72.60029"
"Cape Verde","2003","All genders","Not applicable","Percent","74.80421"
"Cape Verde","2003","Female","Not applicable","Percent","76.00575"
"Cape Verde","2003","Male","Not applicable","Percent","73.62396"
"Cape Verde","2002","All genders","Not applicable","Percent","66.92662"
"Cape Verde","2002","Male","Not applicable","Percent","66.07446"
"Cape Verde","2002","Female","Not applicable","Percent","67.79528"
"Cape Verde","2000","All genders","Not applicable","Percent","64.7244"
"Cape Verde","2000","Female","Not applicable","Percent","66.46512"
"Cape Verde","2000","Male","Not applicable","Percent","63.01703"
"Central African Republic","2010","Female","Not applicable","Percent","36.96595"
"Central African Republic","2010","All genders","Not applicable","Percent","40.50385"
"Central African Republic","2010","Male","Not applicable","Percent","44.07803"
"Chad","2011","All genders","Not applicable","Percent","54.89123"
"Chad","2011","Male","Not applicable","Percent","60.29777"
"Chad","2011","Female","Not applicable","Percent","49.39181"
"Chad","2002","All genders","Not applicable","Percent","26.98461"
"Chad","2002","Female","Not applicable","Percent","22.81429"
"Chad","2002","Male","Not applicable","Percent","31.1118"
"Chad","2001","All genders","Not applicable","Percent","24.7217"
"Chad","2001","Male","Not applicable","Percent","28.28162"
"Chad","2001","Female","Not applicable","Percent","21.12476"
"Chad","2000","All genders","Not applicable","Percent","24.59942"
"Chad","2000","Female","Not applicable","Percent","20.92118"
"Chad","2000","Male","Not applicable","Percent","28.23802"
"Chad","1999","All genders","Not applicable","Percent","20.69453"
"Chad","1999","Male","Not applicable","Percent","24.03409"
"Chad","1999","Female","Not applicable","Percent","17.31602"
"Chile","2014","All genders","Not applicable","Percent","84.47931"
"Chile","2014","Female","Not applicable","Percent","85.67471"
"Chile","2014","Male","Not applicable","Percent","83.3239"
"Colombia","2014","All genders","Not applicable","Percent","66.85482"
"Colombia","2014","Male","Not applicable","Percent","67.43662"
"Colombia","2014","Female","Not applicable","Percent","66.24842"
"Colombia","2013","All genders","Not applicable","Percent","70.28762"
"Colombia","2013","Female","Not applicable","Percent","70.09587"
"Colombia","2013","Male","Not applicable","Percent","70.47156"
"Colombia","2012","All genders","Not applicable","Percent","69.14256"
"Colombia","2012","Male","Not applicable","Percent","69.61175"
"Colombia","2012","Female","Not applicable","Percent","68.6534"
"Colombia","2011","All genders","Not applicable","Percent","69.31239"
"Colombia","2011","Male","Not applicable","Percent","69.67139"
"Colombia","2011","Female","Not applicable","Percent","68.93811"
"Colombia","2010","Female","Not applicable","Percent","66.98944"
"Colombia","2010","All genders","Not applicable","Percent","67.41128"
"Colombia","2010","Male","Not applicable","Percent","67.81591"
"Colombia","2009","Male","Not applicable","Percent","68.67081"
"Colombia","2009","All genders","Not applicable","Percent","68.45488"
"Colombia","2009","Female","Not applicable","Percent","68.22976"
"Colombia","2008","Female","Not applicable","Percent","68.38195"
"Colombia","2008","All genders","Not applicable","Percent","68.90105"
"Colombia","2008","Male","Not applicable","Percent","69.39908"
"Colombia","2007","Male","Not applicable","Percent","65.05954"
"Colombia","2007","All genders","Not applicable","Percent","64.80723"
"Colombia","2007","Female","Not applicable","Percent","64.54433"
"Comoros","2013","Female","Not applicable","Percent","44.74212"
"Comoros","2013","All genders","Not applicable","Percent","44.89303"
"Comoros","2013","Male","Not applicable","Percent","45.03876"
"Comoros","1999","All genders","Not applicable","Percent","18.74247"
"Comoros","1999","Male","Not applicable","Percent","18.94251"
"Comoros","1999","Female","Not applicable","Percent","18.53571"
"Congo","2010","All genders","Not applicable","Percent","49.82741"
"Congo","2010","Male","Not applicable","Percent","50.02552"
"Congo","2010","Female","Not applicable","Percent","49.62703"
"Congo","2006","Male","Not applicable","Percent","54.95345"
"Congo","2006","Female","Not applicable","Percent","53.19934"
"Congo","2006","All genders","Not applicable","Percent","54.08125"
"Congo","2000","Male","Not applicable","Percent","48.54972"
"Congo","2000","All genders","Not applicable","Percent","46.58604"
"Congo","2000","Female","Not applicable","Percent","44.59963"
"Cook Islands","2014","Female","Not applicable","Percent","75.17241"
"Cook Islands","2014","All genders","Not applicable","Percent","71.67235"
"Cook Islands","2014","Male","Not applicable","Percent","68.24324"
"Cook Islands","2013","Male","Not applicable","Percent","55.26316"
"Cook Islands","2013","All genders","Not applicable","Percent","61.51316"
"Cook Islands","2013","Female","Not applicable","Percent","67.76316"
"Cook Islands","2010","Female","Not applicable","Percent","76.82119"
"Cook Islands","2010","All genders","Not applicable","Percent","78.23208"
"Cook Islands","2010","Male","Not applicable","Percent","79.52539"
"Costa Rica","2014","All genders","Not applicable","Percent","90.91679"
"Costa Rica","2014","Male","Not applicable","Percent","91.11183"
"Costa Rica","2014","Female","Not applicable","Percent","90.71248"
"Costa Rica","2013","All genders","Not applicable","Percent","88.64297"
"Costa Rica","2013","Female","Not applicable","Percent","89.97534"
"Costa Rica","2013","Male","Not applicable","Percent","87.37082"
"Costa Rica","2012","All genders","Not applicable","Percent","90.96959"
"Costa Rica","2012","Male","Not applicable","Percent","89.93702"
"Costa Rica","2012","Female","Not applicable","Percent","92.05091"
"Costa Rica","2011","All genders","Not applicable","Percent","92.16477"
"Costa Rica","2011","Female","Not applicable","Percent","93.39158"
"Costa Rica","2011","Male","Not applicable","Percent","90.99312"
"Côte d'Ivoire","2014","Male","Not applicable","Percent","42.8214"
"Côte d'Ivoire","2014","All genders","Not applicable","Percent","41.50895"
"Côte d'Ivoire","2014","Female","Not applicable","Percent","40.18287"
"Côte d'Ivoire","2003","Male","Not applicable","Percent","26.70872"
"Côte d'Ivoire","2003","Female","Not applicable","Percent","25.23142"
"Côte d'Ivoire","2003","All genders","Not applicable","Percent","25.97366"
"Côte d'Ivoire","2002","Female","Not applicable","Percent","21.73054"
"Côte d'Ivoire","2002","All genders","Not applicable","Percent","24.56483"
"Côte d'Ivoire","2002","Male","Not applicable","Percent","27.37175"
"Côte d'Ivoire","2000","Female","Not applicable","Percent","22.0285"
"Côte d'Ivoire","2000","Male","Not applicable","Percent","28.29457"
"Côte d'Ivoire","2000","All genders","Not applicable","Percent","25.17578"
"Côte d'Ivoire","1999","Female","Not applicable","Percent","24.15482"
"Côte d'Ivoire","1999","All genders","Not applicable","Percent","27.23386"
"Côte d'Ivoire","1999","Male","Not applicable","Percent","30.28668"
"Côte d'Ivoire","1998","Female","Not applicable","Percent","22.55645"
"Côte d'Ivoire","1998","Male","Not applicable","Percent","28.67935"
"Côte d'Ivoire","1998","All genders","Not applicable","Percent","25.62873"
"Croatia","2003","Male","Not applicable","Percent","74.59555"
"Croatia","2003","Female","Not applicable","Percent","71.11457"
"Croatia","2003","All genders","Not applicable","Percent","72.89906"
"Croatia","2002","Male","Not applicable","Percent","70.18966"
"Croatia","2002","All genders","Not applicable","Percent","69.93396"
"Croatia","2002","Female","Not applicable","Percent","69.6652"
"Croatia","2001","Male","Not applicable","Percent","69.18005"
"Croatia","2001","Female","Not applicable","Percent","67.0808"
"Croatia","2001","All genders","Not applicable","Percent","68.15654"
"Croatia","2000","Male","Not applicable","Percent","68.89091"
"Croatia","2000","All genders","Not applicable","Percent","68.21014"
"Croatia","2000","Female","Not applicable","Percent","67.49492"
"Croatia","1999","Male","Not applicable","Percent","70.90627"
"Croatia","1999","Female","Not applicable","Percent","68.8426"
"Croatia","1999","All genders","Not applicable","Percent","69.9002"
